Question,Answer
"What metal is considered to have overall supreme goodness compared to magnesium?","Aluminum is considered to have overall supreme goodness compared to magnesium."
"Why might consumers be confused by the term 'mag wheels'?","Consumers might be confused because 'mag wheels' refer to wheels made of an aluminum alloy, not pure magnesium."
"In what types of vehicles are magnesium and its alloys typically used?","Magnesium and its alloys are used in race cars, airplanes, and bicycles."
"What property of magnesium allows it to still be used in vehicle construction despite its flammability?","The property that helps magnesium in vehicle construction is its ability to conduct heat away quickly in solid pieces, which makes it difficult to ignite."
"How do the costs of true magnesium wheels compare to 'mag wheels'?","True magnesium wheels are several times the price of 'mag wheels'."
"What is the atomic number of aluminum?","Aluminum has an atomic number of 13."
"In the context of the provided text, how is aluminum generally perceived?","Aluminum is perceived as nearly the ideal metal due to its properties such as being light, strong, and affordable."
"What are some potential improvements mentioned for aluminum?","Aluminum could be made easier to weld like iron, or take to casting as well as zinc or tin."
"What uses of aluminum are indicated by the text?","Aluminum is used to form the structure of most airplanes and is common in kitchenware."
"How was aluminum valued when it was first produced?","Initially, aluminum was considered a noble metal, as valuable as gold and silver."
"Who was known to serve guests on aluminum plates, and what does this indicate about the metal's former value?","Napoleon III served his most important guests on aluminum plates, indicating aluminum's high value at that time."
"What is the main advantage of aluminum over steel?","The main advantage of aluminum over steel is that it doesn't rust."
"Why doesn't aluminum 'rust' become a problem like it does with iron?","Aluminum 'rust' is a tough, transparent oxide, also known as corundum, that instantly forms a protective thin layer, unlike the flaky red powder that forms on rusting iron."
"What is corundum and why is it significant?","Corundum is a tough, transparent oxide layer that forms on aluminum, protecting it from further corrosion; it is one of the hardest substances known."
"How does the text describe iron's reaction to oxidation?","Iron coats itself with a red flaky powder that soon falls off, exposing fresh metal to further oxidation."
"Is aluminum a reactive metal, and what evidence is provided to support this?","Yes, aluminum is very reactive, as evidenced by its use in modern flash powder and rocket-fuel mixtures."
"What restricts the sale of powdered aluminum?","The sale of powdered aluminum is restricted below a certain particle size because of its reactivity and use in explosives and rocket fuels."
"Which minerals mentioned in the text contain aluminum?","Corundum and beryl, which are the generic forms of ruby, sapphire, emerald, and aquamarine, contain aluminum."
"According to the text, how prevalent is aluminum in the earth's crust?","Aluminum is extremely common in the earth's crust, alongside its periodic table neighbor silicon."
"What historical fact demonstrates aluminum's former status as a luxury item?","The historical fact that Napoleon III reserved aluminum plates for his most important guests demonstrates its former status as a luxury item."
"Inferentially, how could aluminum's role in the kitchen reflect its characteristics?","Its prevalence in the kitchen demonstrates its affordability and practical properties that make it suitable for everyday use."
"What does aluminum oxide's hardness imply about aluminum structures exposed to the environment?","The hardness of aluminum oxide implies that aluminum structures are likely to have a long-lasting protection against environmental factors."
"How is the breadth of aluminum's usage exemplified in the text?","Aluminum's usage is exemplified through its application in aircraft construction, domestic kitchenware, and in its role in high-energy reactions."
"What is the atomic number of silicon?","The atomic number of silicon is 14."
"Why has silicon been a topic of speculation in science fiction?","Silicon has been a topic of speculation in science fiction because it is similar to carbon in its ability to form complex molecular chains."
"In what significant way is silicon similar to carbon?","Silicon is similar to carbon in its capability to form complex molecular chains."
"What is the basis for believing that future silicon-based life on Earth would emerge?","Future silicon-based life on Earth is believed to possibly emerge due to silicon's ability to form semiconducting crystals, rather than its chemical-bonding abilities."
"What is the starting material for computer chips and their final form?","Computer chips start out as common white silica beach sand (silicon dioxide) and end as nearly perfect single crystals of hyperpure silicon."
"What is remarkable about creating computer chips from sand?","It is remarkable that computer chips are created with patterns beyond the resolution of visible light from common beach sand and into hyperpure silicon crystals."
"How does the computing power of modern children's toys compare to the Apollo moon rockets?","Today's average child's toy contains more computing power than the Apollo moon rockets."
"What is a dramatic effect of the computing revolution, according to the text?","The computing revolution is so dramatic that it has the potential to turn civilization on its head or replace it."
"What are the silicate minerals primarily composed of?","Silicate minerals are primarily composed of silicon and oxygen, with smaller amounts of aluminum, iron, calcium, and others."
"Which element is more abundant than silicon in the earth's crust?","Oxygen is the only element more abundant than silicon in the earth's crust."
"How is the 'breeding material' for computers humorously referred to in the text?","The text humorously refers to the earth's abundant supply of silicon and oxygen as 'breeding material' for computers."
"What is the composition of human bones compared to some sea sponges?","Human bones are mostly calcium phosphate in the form of hydroxyapatite foam with almost no silicon, whereas some sea sponges grow bones of silica glass."
"Why is it peculiar that most earthly life did not evolve to use silicon extensively?","It is peculiar because silicon is ubiquitous in the Earth's crust, yet most earthly life evolved without using it."
"What critical element for life is said to be in 'tragically short supply'?","Phosphorous is indicated to be in 'tragically short supply,' which is critical for life."
"Can you infer why the author mentions the next page in the context of phosphorous?","The author suggests that there is more information about phosphorous, and its limited supply on the next page, presumably to elaborate on its importance and scarcity."
"What is the atomic number of phosphorus?","The atomic number of phosphorus is 15."
"When and where was the white phosphorus allotrope discovered?","The white phosphorus allotrope was discovered in 1669 in Hamburg."
"What was the role of white phosphorus in the firestorm of Hamburg in 1943?","White phosphorus was responsible for burning people driven outside, while magnesium incendiary bombs leveled the buildings."
"For what purposes is white phosphorus used in modern warfare?","White phosphorus is used in artillery and mortar shells with horrific results."
"Why was phosphorus historically considered a limiting factor in the growth of food crops?","Phosphorus depletion in the soil limited the growth of food crops, resulting in mass starvations."
"How did civilizations attempt to replenish phosphorus in the soil before the mid-1800s?","Civilizations used guano, bonemeal, or other fertilizers to replenish phosphorus in the soil."
"What breakthrough occurred in the mid-1800s regarding phosphorus?","In the mid-1800s, a technical solution to phosphorus shortage was found by creating fertilizer from phosphate rocks."
"What has been the effect of phosphate fertilizers on human population growth?","Phosphate fertilizers are responsible for the explosion in human populations, to the point where water has become the limiting factor in many places."
"What is the role of phosphates in agriculture?","Phosphates, containing the PO43- group, are vital for the growth of food crops."
"What are the different molecular forms of phosphorus?","The molecular forms, or allotropes, of phosphorus include white, red, and black phosphorus."
"What is the main use of red phosphorus?","Red phosphorus is widely used in matches as an igniter."
"Why is black phosphorus rarely seen?","Black phosphorus is hard to make and has no important applications."
"How can the essence of white phosphorus be described?","White phosphorus is toxic, pyrophoric, used mainly in war, and could be considered close to pure evil."
"If judged purely on the basis of smell, which element would rival white phosphorus for unpleasantness?","Sulfur would win the contest for unpleasantness based purely on the basis of smell."
"How has the perception of the limiting factor for food crop growth changed from phosphorus to another resource?","Due to the creation of phosphate fertilizers, the limiting factor for food crop growth in many places has changed from phosphorus to water."
"What is the atomic number of sulfur?","16."
"Why is sulfur traditionally associated with the concept of hell in many traditions?","Because of its smell when it is burning, which is likely why many traditions associate it with hell."
"What is the historical name for sulfur?","Brimstone."
"Identify one of the main compounds of sulfur that has an unpleasant smell.","Hydrogen sulfide, which smells like rotten eggs."
"Why do sulfur compounds pose an environmental concern in urban areas?","Sulfur compounds from burning coal, oil, and diesel are major components of urban smog."
"Is the removal of sulfur from exhaust streams and fuels a regulated process?","Yes, cleaning sulfur from exhaust streams and fuels is now mandatory."
"What is one of the roles of sulfur in warfare?","Sulfur is one of the three basic ingredients of gunpowder."
"In terms of responsibility for deaths, how is sulfur implied to have a negative impact?","Sulfur has been used in gunpowder, which has led to millions of deaths."
"What is a major use of sulfur in the chemical industry?","The primary use is in the production of sulfuric acid, which is essential for countless manufacturing processes."
"How is sulfur utilized in agriculture?","It is used in the form of powdered sulfur for adjusting soil pH in gardens."
"How does the public generally view sulfur in the context of organic gardening compared to chemical alternatives?","Sulfur is generally considered an 'organic' material, which is favored over 'chemical' alternatives."
"What is the paradox highlighted about sulfur's assessment as an organic material?","Despite its smell and usefulness in industries, sulfur is considered 'organic' which the author finds hard to fathom."
"How does the perceived safety of handling sulfur compare to chlorine?","Sulfur, despite its smell, can be handled safely in large amounts, unlike chlorine which is dangerous in more than trace amounts."
"How does chlorine's smell at low concentrations contrast with its safety?","Chlorine smells almost pleasant at low concentrations, reminiscent of swimming pools, but it is hazardous in higher concentrations."
"Why might some people find chlorine's smell at low concentrations appealing?","It reminds people of the pleasure of swimming pools."
"What is the atomic number of chlorine?","17"
"During which conflict was chlorine first used as a poison gas?","World War I"
"How was chlorine gas typically deployed in trench warfare?","Soldiers placed a line of gas cylinders at the front lines, waited for the wind direction to favor their strategy, opened the valves, and then retreated quickly."
"Who sometimes personally oversaw the use of chlorine gas in the war, according to the text?","Fritz Haber"
"What conclusion was drawn from the use of chlorine gas in warfare over time?","It was phased out as it became apparent that it caused roughly equal casualties on both sides."
"Describe the sensation of inhaling pure chlorine according to the author's personal experience.","The sensation is described as one of pure, instant agony, similar to having a blowtorch pointed at your sinuses."
"What is a major beneficial use of chlorine in small amounts?","Chlorine is used as a disinfectant, particularly in treating drinking and wastewater, effectively saving millions of lives without long-lasting environmental effects."
"What is the household name for the solution containing sodium hypochlorite?","Chlorine bleach"
"What gas is released when chlorine bleach comes into contact with an acidic material?","Chlorine gas"
"What common item is made of sodium chloride?","Table salt"
"What is the main component of stomach acid mentioned in the text?","Hydrochloric acid (HCl)"
"In what diverse biological functions do chlorine ions participate?","Chlorine ions are involved in functions such as nerve conduction and digestion."
"How does the text characterize argon in comparison to chlorine?","Argon is characterized as a noble gas that stays out of reactive processes, implying it is unreactive or inert unlike chlorine."
"Can you infer why the use of chlorine gas in World War I led to casualties on both sides?","Due to wind-direction unpredictability, the chlorine gas could drift back to the side that released it, causing casualties among their own troops."
"Why is the author of the text likely to mention that, on balance, chlorine 'has saved vastly more lives than it has taken'?","This statement is meant to highlight chlorine's beneficial uses in contrast to its notorious history as a chemical weapon."
"What is the atomic number of argon?","Argon has an atomic number of 18."
"Why is argon considered 'inactive'?","Argon is considered 'inactive' due to its strong resistance to chemical combination, remaining inert under conditions where other gases might react."
"In what kind of applications is argon used?","Argon is used in applications that require a totally inert gas due to its relatively lower cost and chemically unreactive nature."
"Why might nitrogen be less preferable than argon for certain high-temperature applications?","Although nitrogen is cheaper, it can break down at high temperatures, whereas argon remains inert."
"Has argon formed any stable chemical compounds?","Argon has formed very few compounds, and those are highly unstable and of primarily academic interest."
"What technological innovation replaced the vacuum in Edison's first lightbulbs?","The vacuum in Edison's first lightbulbs was replaced with argon at near atmospheric pressure in modern incandescent bulbs."
"How does the use of argon in lightbulbs impact the design of their glass walls?","Using argon allows incandescent bulbs to have paper-thin glass walls."
"Which gases are used in smaller bulbs to allow filaments to burn hotter and brighter?","Smaller bulbs use krypton, xenon, and/or halogen gases to allow their filaments to burn hotter and thus brighter."
"What has enabled the retail availability of small metal cylinders of argon gas?","The retail availability of small metal cylinders of argon gas is thanks to gadgets that protect opened bottles of wine from oxidation with argon."
"What is the percentage of argon by weight in our atmosphere?","Argon is nearly one percent by weight in our atmosphere."
"What are the two main products from whose production argon is obtained as a by-product?","Commercial argon is obtained as a by-product of the production of liquid oxygen and liquid nitrogen."
"How does the abundance of argon in the atmosphere affect its price?","The abundance of argon in the atmosphere makes it relatively cheap."
"What humorous suggestion does the author give for avoiding wine snobbery?","The author suggests that simply drinking the grape juice before it goes bad would help avoid a lot of wine snobbery."
"What element does the text mention in relation to radioactive bananas?","The text mentions potassium in relation to radioactive bananas."
"How does the text contrast argon with potassium?","The text suggests that unlike argon, potassium is an element intimately tied to worldly things, exemplified by its presence in radioactive bananas."
"What is the atomic number of potassium?","The atomic number of potassium is 19."
"Why might bananas be considered radioactive?","Bananas contain a radioactive isotope of potassium, known as 40K, which makes them slightly radioactive."
"What fractional amount of potassium atoms are radioactive 40K?","About one hundredth of one percent of the potassium atoms are the radioactive isotope 40K."
"How does the natural radiation from bananas compare to other sources of background radiation?","The radiation from bananas accounts for a significant fraction of the natural background radiation we are exposed to every day."
"What was Isaac Asimov's speculation regarding the role of 40K radiation in the evolution of intelligent life?","Isaac Asimov speculated that the level of 40K radiation might have determined the window of opportunity for intelligent life to evolve, with too much 40K preventing long genomes and too little 40K slowing mutation rates and evolution."
"Why is potassium considered fun to throw into water?","Potassium is an alkali metal which reacts explosively with water, bursting into beautiful violet flames."
"What happens if your body's potassium levels are too low?","If potassium levels are too low, nerve transmission is affected, which can cause fingers to freeze in place and may lead to death if the deficiency reaches the heart."
"What is a quick remedy for low potassium levels?","Eating bananas can help remedy low potassium levels."
"What role does potassium play in the human body compared to calcium?","Potassium is critical for nerve transmission and movement in the body, while calcium helps maintain the body’s shape."
"How does potassium in the body exist in terms of ions?","In the body, potassium exists in the form of the K+ ion."
"Discuss the dual nature of the potassium isotope 40K as both an evolutionary factor and an everyday radiation source.","40K is a source of natural background radiation to which we are all exposed daily, and it has also been proposed to have influenced the timing and rate of evolution for intelligent life on Earth."
"What is the comparison made between potassium and sodium regarding their reactivity with water?","Potassium is more reactive than sodium when it comes into contact with water, resulting in an explosive reaction with violet flames."
"Can you infer the significance of bananas in the context of this text?","Bananas are significant because they are a rich source of potassium, which is essential for nerve function, and can serve as a quick remedy for potassium deficiency."
"What general statement did the author make about the presence of radiation in the food we eat?","The author stated that virtually all the food we eat is radioactive to some extent, with bananas being slightly more radioactive due to their potassium content."
"What is the atomic number of hydrogen?","The atomic number of hydrogen is 1."
"What element do stars convert hydrogen into?","Stars convert hydrogen into helium."
"How much hydrogen does the sun consume every second?","The sun consumes six hundred million tons of hydrogen per second."
"In the process of converting hydrogen, how much helium is produced by the sun every second?","The sun produces five hundred and ninety-six million tons of helium every second."
"What happens to the four million tons per second that is not converted into helium by the sun?","The four million tons per second is converted into energy."
"What principle explains the conversion of hydrogen mass into energy in the sun?","The principle explaining the conversion is Einstein's formula, E=mc2."
"How much of the sun's energy reaches the earth?","About three-and-a-half-pounds-per-second's worth of the sun's energy reaches the earth."
"What role does hydrogen play on Earth?","Hydrogen helps to form clouds, oceans, lakes, and rivers, and it is part of blood and body of all living things when combined with other elements."
"Why is hydrogen considered preferable to helium for certain applications, despite its risks?","Hydrogen is much cheaper than helium, so it was once used in airships."
"What was the main cause of death in the Hindenburg disaster?","The main cause of death in the Hindenburg disaster was falling; people did not die from being burned by hydrogen."
"Why do physicists find hydrogen to be particularly interesting?","Physicists find hydrogen interesting because its simple structure of one proton and one electron means quantum mechanical formulas work well on it."
"What is the irony present in physicists' approach to studying helium compared to hydrogen?","The irony is that once the element helium, with its two protons and two electrons, is considered, physicists typically give up and leave it to chemists to handle, despite only being one atomic number higher than hydrogen."
"What is the thematic significance of hydrogen in the context of sustaining life?","Hydrogen is thematically significant as it is fundamental to the creation of water and organic compounds, which are essential for life as we know it."
"Why do physicists 'throw up their hands' when it comes to helium?","Physicists are challenged by helium because its structure with two protons and two electrons complicates the use of quantum mechanical formulas, making helium harder to study than hydrogen."
"Which gases are lighter than hydrogen?","There are no gases lighter than hydrogen; it is the lightest of all gases."
"What part does hydrogen play in the creation of everyday experiences like dawn and summer afternoons?","Hydrogen transformed into energy contributes to the light of dawn, the warmth of a summer afternoon, and the red glow of sunset."
"What other elements does hydrogen bond with to form the basis of life on Earth?","Hydrogen bonds with carbon (6), nitrogen (7), and oxygen (8) to form the basis of life on Earth."
"Despite its benefits, why might hydrogen be considered dangerous to use in vehicles, such as airships?","Hydrogen might be considered dangerous because it is highly flammable, as demonstrated by disasters like the Hindenburg, although the primary cause of death there was falling."
"What does the frequent use of hydrogen in physics equations say about its properties?","Hydrogen's simple structure makes it ideal for physics equations, highlighting its fundamental and straightforward properties."
"What is the atomic number of helium?","The atomic number of helium is 2."
"Why was helium named after the Greek god Helios?","Helium was named after Helios because it was first discovered as unidentified dark lines in the spectrum of sunlight."
"What paradox is mentioned regarding the discovery of helium?","The paradox is that helium, a common element used to fill party balloons, was first discovered in space rather than on Earth."
"Why is helium referred to as one of the noble gases?","Helium is termed a noble gas because it remains inert and does not easily interact with other elements."
"In comparison to hydrogen, what are the pros and cons of using helium for airships?","Helium is nonflammable, making it safer than hydrogen, but it is more expensive and provides less lift."
"How is helium extracted for commercial use today?","Today, helium is extracted from natural gas as it is mined from the ground."
"Was helium originally present when the Earth was formed?","No, helium was not deposited during Earth's formation. It is created by the radioactive decay of uranium and thorium."
"How is helium created from radioactive decay?","Helium is created from the decay of uranium and thorium, which emit alpha particles; an alpha particle is a helium atom nucleus."
"What does the term 'alpha particle' refer to in physics?","In physics, an 'alpha particle' refers to the nucleus of a helium atom."
"How can the age of helium in balloons be described?","The helium atoms in balloons were once part of the nuclei of radioactive atoms tens or hundreds of millions of years ago."
"What is suggested as unusual about the origin of helium used in party balloons?","It's unusual that helium in balloons is comprised of atoms that were once random protons and neutrons in large radioactive atoms."
"Can you infer the tone of the author when discussing the filling of party balloons with helium?","The author's tone seems to be one of amazement or wonder at the transformation of helium from radioactive materials."
"What implication is made about lithum in the last sentence of the text?","The text implies that lithium has a strange or significant effect on the human mind."
"What is the atomic number of lithium?","The atomic number of lithium is 3."
"Can lithium float on water, and if so, why?","Yes, lithium can float on water due to its very light and low-density nature."
"What other metal can float on water besides lithium?","Sodium is the other metal that can float on water."
"What happens when lithium comes into contact with water?","Lithium reacts with water, releasing hydrogen gas at a steady, moderate rate."
"Why is lithium rare in metallic form outside labs or chemical plants?","Lithium is rare in metallic form outside of controlled environments because of its highly reactive nature."
"What are lithium-ion batteries used for?","Lithium-ion batteries are used to power electronic devices ranging from pacemakers to cars, including laptops."
"What is the significance of lithium's low density in battery technology?","Lithium's low density allows lithium-ion batteries to pack tremendous power without much weight."
"What is another application of lithium outside of batteries?","Lithium is used in the manufacture of lithium stearate, which is a component of popular lithium grease for cars, trucks, and mechanics."
"Which country is known to have a large amount of easily recoverable lithium?","Bolivia is known to have a large amount of easily recoverable lithium."
"What implication could the widespread use of electric cars have on Bolivia?","If electric cars based on lithium-ion batteries become very widespread, Bolivia's lithium reserves might become a point of interest due to their large and easily recoverable lithium deposits."
"How does lithium carbonate affect people with bipolar disorder?","Lithium carbonate, which dissolves into lithium ions in the body, smoothes out the highs and lows of bipolar disorder."
"What does the text imply about the relationship between chemistry and human emotion?","The text suggests that even complex phenomena like human emotion can be influenced by basic chemistry, as shown by lithium's effect on bipolar disorder."
"What contrasting qualities are implied between lithium and beryllium in the text?","The text implies that while lithium is soft, reactive, and balancing, beryllium differs significantly, suggesting contrasting properties or characteristics."
"What does the 'real excitement' refer to in the context of sodium's reaction with water?","The 'real excitement' refers to the far more vigorous reaction of sodium with water compared to lithium's moderate reaction."
"What is the atomic number of beryllium?","Beryllium has an atomic number of 4."
"Compare the densities of beryllium, lithium, and aluminum.","Beryllium is denser than lithium but less dense than aluminum."
"What are the major differences between lithium and beryllium?","Lithium is soft, low-melting, and reactive, whereas beryllium is strong, melts at a high temperature, and resistant to corrosion."
"Why is beryllium used in missile and rocket parts?","Beryllium's strength-to-weight ratio, resistance to corrosion, and even though it is costly and poisonous, these are acceptable factors for making missile and rocket parts."
"What unique feature of beryllium makes it suitable for x-ray tube windows?","Beryllium is transparent to x-rays, which allows for strong x-ray tube windows that can maintain a vacuum while letting x-rays pass through."
"Why is beryllium copper alloy used in tools around oil wells?","Beryllium copper alloy is nonsparking and high-strength, preventing sparks that could cause explosions around flammable gases."
"Is beryllium copper effective in improving golf club performance?","No, beryllium copper in golf clubs does not improve performance any more than manganese bronze or titanium."
"What are the colored varieties of the mineral beryl and how do they relate to beryllium?","The green and blue varieties of beryl, which is a crystalline form of beryllium aluminum cyclosilicate, are known as emerald and aquamarine."
"How does the text personify beryllium?","The text personifies beryllium as a 'debonair, James Bond–style metal' due to its versatile and high-performance applications."
"What does the phrase 'strength without weight is king' imply about the priorities in rocket part design?","It implies that in rocket design, materials that provide strength while being lightweight are highly valued."
"Does the text suggest that cost is a major barrier to the use of beryllium in every industry?","While cost is mentioned, it suggests that in certain applications like in missiles and rockets, cost is not a primary concern."
"What element is alluded to at the end of the text, and what might this signify?","Boron is alluded to at the end, potentially signifying its mention as a next topic or as a contrast to beryllium."
"What is the atomic number of boron?","The atomic number of boron is 5."
"Why might someone consider boron unimpressive?","Someone might consider boron unimpressive because its most common occurrence is in borax, which is typically used as a laundry aid."
"What compound results from combining boron with nitrogen?","Combining boron with nitrogen results in cubic boron nitride crystals."
"How does the hardness of cubic boron nitride crystals compare to diamond?","Cubic boron nitride crystals are very nearly as hard as diamond."
"What are the advantages of cubic boron nitride crystals over diamond?","Cubic boron nitride crystals are less expensive to create and more heat resistant than diamond, which makes them popular abrasives for industrial steelworking."
"What is unique about wurtzite-crystal boron nitride?","Wurtzite-crystal boron nitride might actually be harder than diamond under certain conditions, according to recent theoretical calculations."
"Has the wurtzite-crystal form of boron nitride been created in single-crystal form?","As of the time the information was given, the wurtzite-crystal form of boron nitride has never been created in single-crystal form."
"What does the existence of wurtzite boron nitride mean for diamond's status?","The existence of wurtzite boron nitride means there is an 'annoying footnote' next to any claim that diamond is the hardest known substance because wurtzite might be harder."
"What practical application does boron carbide have that could intrigue secret agents?","Boron carbide can be used to destroy an internal combustion engine by irreparably scoring the cylinder walls when poured into the oil-fill hole."
"What unique properties does boron give to Silly Putty?","Boron is the critical cross-linking chemical that gives Silly Putty the ability to be soft and moldable in the hand, yet hard and bouncy when thrown against the wall."
"How is boron typically perceived based on its name and common uses?","Based on its name and common uses, boron is typically perceived as unglamorous or frumpy."
"Why might boron not be 'in the same league' as carbon?","Boron might not be 'in the same league' as carbon despite its interesting properties and applications because carbon forms diamonds, which are traditionally considered the epitome of glamour and hardness."
"What is the atomic number of carbon?","The atomic number of carbon is 6."
"Why is carbon considered the most important element of life?","Carbon is considered the most important element of life because its unique properties are fundamental to the structures of DNA, steroids, proteins, and other organic compounds."
"What does the term 'organic compound' refer to?","The term 'organic compound' refers to chemicals that contain carbon."
"What form of pure carbon is known to be the hardest substance?","Diamond is known to be the hardest substance."
"Which company has created myths about diamonds?","The DeBeers diamond company has created myths about diamonds."
"What are some misconceptions about diamonds?","Misconceptions about diamonds include their rarity, beauty, and permanence, which have been perpetuated by DeBeers's monopoly."
"What could be used as alternatives to diamonds in jewelry for similar beauty?","Cubic zirconia or crystalline silicon carbide could be used as alternatives to diamonds for similar beauty."
"What was commonly used to write with before the widespread use of modern writing instruments, and what is it made from?","Before modern writing instruments, people commonly used pencils, which contain graphite, a form of carbon, as the 'lead'."
"What structure do carbon atoms form in graphite?","In graphite, carbon atoms form sheets resembling a honeycomb."
"What is the name of the spherical molecule made from carbon, and who is it named after?","The spherical molecule is known as a C60 'buckyball', named after Buckminster Fuller."
"What are carbon nanotubes and why are they significant?","Carbon nanotubes are structures created from rolling carbon atom sheets into tubes, and they are the strongest material known to science."
"What current political controversy involves carbon?","The political controversy involves the fact that our civilization is emitting carbon dioxide into the atmosphere at very high rates, much faster than it was sequestered by ancient organisms like dinosaurs and their swamps."
"What ecological role did the dinosaurs and their swamps play in relation to carbon?","The dinosaurs and their swamps played the role of removing carbon dioxide from the atmosphere and storing it, a process that is being reversed by current carbon emissions."
"What element presents a situation opposite to that of carbon, as mentioned in the text?","Nitrogen presents an opposite situation to carbon, according to the text."
"How do graphite and diamonds differ in their molecular structure?","Graphite consists of sheets of carbon atoms in a honeycomb pattern, whereas diamonds have a crystal lattice structure that makes them extremely hard."
"What could the diamonds' current high price be attributed to, as suggested by the text?","The high price of diamonds can be attributed to DeBeers's monopoly control, which inflates their cost."
"What happens to diamonds under moderately high temperatures?","Under moderately high temperatures, diamonds can burn easily."
